EventID,Event
153,Gymnastics Women's Uneven Bars
148,Gymnastics Women's Balance Beam
116,Diving Women's Springboard
117,Diving Women's Synchronized Springboard
41,"Athletics Women's 10,000 metres"
27,Athletics Men's Decathlon
46,Athletics Women's 4 x 100 metres Relay
137,Freestyle Skiing Men's Moguls
39,Athletics Men's Triple Jump
243,Swimming Women's 50 metres Freestyle
52,Athletics Women's Discus Throw
18,Athletics Men's 200 metres
40,"Athletics Women's 1,500 metres"
211,"Shooting Women's Air Pistol, 10 metres"
212,"Shooting Women's Sporting Pistol, 25 metres"
86,"Canoeing Men's Kayak Doubles, 500 metres"
89,"Canoeing Men's Kayak Singles, 500 metres"
88,"Canoeing Men's Kayak Singles, 1,000 metres"
203,"Shooting Men's Running Target, 50 metres"
167,Judo Women's Half-Heavyweight
56,Athletics Women's Pole Vault
248,Table Tennis Men's Team
132,Figure Skating Mixed Pairs
136,Freestyle Skiing Men's Aerials
184,Rowing Women's Coxed Eights
47,Athletics Women's 4 x 400 metres Relay
232,Swimming Men's 400 metres Freestyle
229,Swimming Men's 4 x 100 metres Freestyle Relay
231,Swimming Men's 4 x 200 metres Freestyle Relay
7,Alpine Skiing Women's Giant Slalom
9,Alpine Skiing Women's Super G
107,Cycling Men's Sprint
101,"Cycling Men's 1,000 metres Time Trial"
103,"Cycling Men's Individual Pursuit, 4,000 metres"
292,"Wrestling Men's Welterweight, Freestyle"
278,"Wrestling Men's Bantamweight, Greco-Roman"
222,Swimming Men's 100 metres Backstroke
187,Rowing Women's Lightweight Double Sculls
63,Biathlon Men's 10 kilometres Sprint
64,Biathlon Men's 12.5 kilometres Pursuit
65,Biathlon Men's 20 kilometres
66,Biathlon Men's 4 x 7.5 kilometres Relay
67,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
90,"Canoeing Men's Kayak Singles, Slalom"
10,Archery Men's Individual
11,Archery Men's Team
239,Swimming Women's 4 x 100 metres Freestyle Relay
219,"Speed Skating Women's 1,500 metres"
221,Speed Skating Women's Team Pursuit (6 laps)
98,Cross Country Skiing Men's Sprint
48,Athletics Women's 400 metres
217,Speed Skating Men's 500 metres
215,"Speed Skating Men's 1,000 metres"
257,Trampolining Men's Individual
62,Beach Volleyball Men's Beach Volleyball
227,Swimming Men's 200 metres Freestyle
110,"Cycling Women's Mountainbike, Cross-Country"
259,Triathlon Women's Olympic Distance
104,"Cycling Men's Mountainbike, Cross-Country"
49,Athletics Women's 400 metres Hurdles
164,Judo Men's Lightweight
51,Athletics Women's 800 metres
264,Weightlifting Men's Featherweight
42,Athletics Women's 100 metres
114,Diving Men's Springboard
191,Rugby Sevens Women's Rugby Sevens
282,"Wrestling Men's Flyweight, Greco-Roman"
280,"Wrestling Men's Featherweight, Greco-Roman"
247,Table Tennis Men's Singles
100,Cross Country Skiing Women's 5 kilometres
99,Cross Country Skiing Women's 3 x 5 kilometres Relay
188,Rowing Women's Quadruple Sculls
173,Nordic Combined Men's Sprint
225,Swimming Men's 200 metres Backstroke
275,Weightlifting Women's Middleweight
296,"Wrestling Women's Light-Heavyweight, Freestyle"
213,"Ski Jumping Men's Normal Hill, Individual"
